method,display_name,successful_runs,coverage_fraction,metric_balanced_accuracy_mean,metric_balanced_accuracy_std,metric_balanced_accuracy_n,metric_macro_f1_mean,metric_macro_f1_std,metric_macro_f1_n,metric_accuracy_mean,metric_accuracy_std,metric_accuracy_n,metric_log_loss_mean,metric_log_loss_std,metric_log_loss_n,metric_roc_auc_mean,metric_roc_auc_std,metric_roc_auc_n,metric_average_precision_mean,metric_average_precision_std,metric_average_precision_n,metric_brier_mean,metric_brier_std,metric_brier_n,metric_ece_mean,metric_ece_std,metric_ece_n,runtime_seconds_mean,runtime_seconds_median,peak_gpu_mem_mb_mean
tabiclv2_self_training,TabICLv2 self-training,120,1.0,0.7448479501704116,0.14362551220540648,120,0.747190476272882,0.14445835382230532,120,0.8015334054726115,0.11284766366278441,120,0.4773813908834596,0.2777783199984912,120,0.8854412619054254,0.0869572887235997,120,0.7285719132512399,0.18024446802901223,72,0.2744996679242625,0.14464489698101723,120,0.04495412407550378,0.034464917866625144,120,11.088123333333334,6.97585,
tabiclv2,TabICLv2,120,1.0,0.7434685581907623,0.14512501791049665,120,0.7454240176281566,0.14637185927492524,120,0.8006053063666634,0.11368667848780668,120,0.476615457285188,0.2765894660320009,120,0.8849338427561086,0.08714897364023175,120,0.7278036726024057,0.18063435132624417,72,0.27494236753238255,0.14532812480767457,120,0.04400396233260661,0.034790615382957836,120,6.311375,5.85675,
tabpfn3_self_training,TabPFN-3 self-training,120,1.0,0.7409827402698376,0.15003737938495823,120,0.7425450608213201,0.15166256402259531,120,0.8040517085668315,0.10983519924451185,120,0.46520168393570144,0.2575460830229095,120,0.8864315663085175,0.08526080622759123,120,0.7315009398908803,0.18345140729897041,72,0.2684861276935195,0.13583779178669986,120,0.039514355142183134,0.02723843194684785,120,13.326364166666668,11.56235,
tabpfn3,TabPFN-3,120,1.0,0.7387021512261797,0.15182818957310282,120,0.7410352048806649,0.15294240441812895,120,0.8034657403371334,0.11114084255926969,120,0.4656169252316182,0.26114456014319987,120,0.8857486300636881,0.08571658264313484,120,0.7308209960005237,0.18460504184074758,72,0.26916958468954694,0.13729800999329372,120,0.0388503566132834,0.02717084701155131,120,8.782866666666667,7.99935,
catboost,CatBoost,120,1.0,0.7224738000349197,0.14370456422767533,120,0.7291262256260548,0.1439297389177229,120,0.7889670559372869,0.10856905064688814,120,0.5886467871644747,0.27430703534393747,120,0.8686575604423271,0.09160741106700042,120,0.6977078000826412,0.1821542053128516,72,,,0,,,0,5.8499625,4.29,
xgboost,XGBoost,120,1.0,0.7116822941451066,0.14217204393806115,120,0.7154229739927156,0.14353663792994031,120,0.7769138658049809,0.10973828227334935,120,0.6069437780727943,0.3000237620393058,120,0.8561211751649452,0.09659824205782301,120,0.6768456162320508,0.20396759382853302,72,,,0,,,0,3.5001958333333336,2.7211499999999997,
sslae,SSLAE,120,1.0,0.690346693292946,0.15519614209476212,120,0.6881310399828083,0.1606600137923376,120,0.7642090040078955,0.12092262678044466,120,0.5876779743836215,0.2920226396350172,120,0.8514666348425486,0.09346504239877051,120,0.6751346631897469,0.17063003673424137,72,,,0,,,0,57.11855,24.912399999999998,
scarf,SCARF,120,1.0,0.6874457403391309,0.15857707584901923,120,0.6890754655305333,0.1622394805122635,120,0.7689077490543309,0.12202082365786342,120,0.5950358308303798,0.2943843555165851,120,0.8491356745363027,0.09994361752175428,120,0.6702473004538368,0.1911199995576933,72,,,0,,,0,177.33605083333333,94.07650000000001,
vime,VIME,120,1.0,0.6855441711575753,0.1596743183304917,120,0.6847519629636151,0.1647206719793537,120,0.7673988997375394,0.12140017989270396,120,0.5862761080653185,0.29392681238825397,120,0.8462224752166648,0.10667885778037459,120,0.6686745959980556,0.19528781816112553,72,,,0,,,0,263.44231083333335,71.3909,
self_training_lightgbm,Self-training LightGBM,120,1.0,0.6745549177573242,0.1870215366365736,120,0.657145847261111,0.20802474996254167,120,0.7435944522940067,0.15574418507484006,120,1.3546572893629067,0.9361264041190273,120,0.8118804907502959,0.14799124465450375,120,0.625456635045724,0.24124666294653924,72,,,0,,,0,17.066155,15.34105,
label_spreading,Label spreading,105,0.875,0.6741310510075461,0.14803661413126357,105,0.6712495557273974,0.15374641194411737,105,0.7439240312811701,0.12903125586624892,105,0.8711610199999015,0.47678944697821907,105,0.8361946979058135,0.10816308689183246,105,0.5936523260490926,0.1956843143722461,57,,,0,,,0,10.88660761904762,4.1704,
unlabeled_attention_ssl,Unlabeled attention,120,1.0,0.667663569095671,0.1756930218019872,120,0.6569099238755565,0.18397598861843004,120,0.7498201839882952,0.12505637165370703,120,0.7586322071817607,0.4462639637378534,120,0.8427917458408405,0.10150717749447402,120,0.6682337356852817,0.18251108436612956,72,0.3771783120239888,0.18355660099156865,120,0.12195489761117972,0.10483438208820108,120,4.950359166666668,4.3857,
laplacian_ssl,Laplacian SSL,120,1.0,0.6174765491143351,0.17838011945798715,120,0.601634631498334,0.19153761952754983,120,0.7410557157349188,0.12344149796451324,120,0.6704972181903137,0.36557216257847364,120,0.8456949372644567,0.08814153181363678,120,0.667364179629346,0.17670835797043746,72,0.36923023157123913,0.15931199718019542,120,0.09853237025113531,0.08835108855742894,120,7.605147499999999,6.51235,
label_propagation,Label propagation,111,0.925,0.5975827978136456,0.1609379986461413,111,0.5645142647357951,0.1895405692827463,111,0.6924041461821959,0.14260501658680416,111,0.8411219188833173,0.48072817251235983,111,0.8001669506040407,0.13589430660691468,111,0.536212076249746,0.20622378214146253,63,,,0,,,0,11.13121801801802,8.3349,
geometric_attention_ssl,Combined geometric attention,120,1.0,0.5961591943353776,0.1834136148602625,120,0.5691687873361658,0.2055144166837842,120,0.721868515235497,0.13625528305473303,120,0.6878559029041678,0.39062696462204016,120,0.8208289190983326,0.1104378737654695,120,0.630033385098215,0.20798156341037016,72,0.38368006646322633,0.17229904748109023,120,0.08227660075332605,0.07778592994548185,120,9.465886666666668,9.0643,
embedding_alignment_ssl,Embedding alignment,120,1.0,0.5830789423867379,0.16251867942002296,120,0.5588611302300153,0.17827513914947388,120,0.6979191874999737,0.14227180761534594,120,0.7295440029855071,0.3321529956691347,120,0.7990091483028584,0.14998938790067187,120,0.5895915921270656,0.2074533941599102,72,0.41062851285119656,0.14521285911413628,120,0.11145296949193716,0.08028520518248303,120,3.5704841666666667,3.45775,
